"parliament_id","leg_period_start","leg_period_end","level","country_abb","region_abb","leg_period","assembly_name","assembly_abb","coalition_parties","previous_parliament","next_parliament","parliament_size","period_id_original","is_current","parl_source"
"NO_NT_1913","30sep1913","29sep1916","NT","NO",NA,1,"Stortinget","ST",NA,NA,"NO_NT_1916",123,"1913-16",FALSE,"data.stortinget.no"
"NO_NT_1916","30sep1916","29sep1918","NT","NO",NA,2,"Stortinget","ST",NA,"NO_NT_1913","NO_NT_1919",123,"1916-18",FALSE,"data.stortinget.no"
"NO_NT_1919","30sep1919","29sep1921","NT","NO",NA,3,"Stortinget","ST",NA,"NO_NT_1916","NO_NT_1922",126,"1919-21",FALSE,"data.stortinget.no"
"NO_NT_1922","30sep1922","29sep1924","NT","NO",NA,4,"Stortinget","ST",NA,"NO_NT_1919","NO_NT_1925",150,"1922-24",FALSE,"data.stortinget.no"
"NO_NT_1925","30sep1925","29sep1927","NT","NO",NA,5,"Stortinget","ST",NA,"NO_NT_1922","NO_NT_1928",150,"1925-27",FALSE,"data.stortinget.no"
"NO_NT_1928","30sep1928","29sep1930","NT","NO",NA,6,"Stortinget","ST",NA,"NO_NT_1925","NO_NT_1931",150,"1928-30",FALSE,"data.stortinget.no"
"NO_NT_1931","30sep1931","29sep1933","NT","NO",NA,7,"Stortinget","ST",NA,"NO_NT_1928","NO_NT_1934",150,"1931-33",FALSE,"data.stortinget.no"
"NO_NT_1934","30sep1934","29sep1936","NT","NO",NA,8,"Stortinget","ST",NA,"NO_NT_1931","NO_NT_1937",150,"1934-36",FALSE,"data.stortinget.no"
"NO_NT_1937","30sep1937","29sep1940","NT","NO",NA,9,"Stortinget","ST",NA,"NO_NT_1934","NO_NT_1945",150,"1937-40",FALSE,"data.stortinget.no"
"NO_NT_1945","03dec1945","09jan1950","NT","NO",NA,10,"Stortinget","ST",NA,"NO_NT_1937","NO_NT_1950",150,"1945-49",FALSE,"data.stortinget.no"
"NO_NT_1950","10jan1950","09jan1954","NT","NO",NA,11,"Stortinget","ST",NA,"NO_NT_1945","NO_NT_1954",150,"1950-53",FALSE,"data.stortinget.no"
"NO_NT_1954","10jan1954","09jan1958","NT","NO",NA,12,"Stortinget","ST",NA,"NO_NT_1950","NO_NT_1958",150,"1954-57",FALSE,"data.stortinget.no"
"NO_NT_1958","10jan1958","29sep1961","NT","NO",NA,13,"Stortinget","ST",NA,"NO_NT_1954","NO_NT_1961",150,"1958-61",FALSE,"data.stortinget.no"
"NO_NT_1961","30sep1961","29sep1965","NT","NO",NA,14,"Stortinget","ST",NA,"NO_NT_1958","NO_NT_1965",150,"1961-65",FALSE,"data.stortinget.no"
"NO_NT_1965","30sep1965","29sep1969","NT","NO",NA,15,"Stortinget","ST",NA,"NO_NT_1961","NO_NT_1969",150,"1965-69",FALSE,"data.stortinget.no"
"NO_NT_1969","30sep1969","29sep1973","NT","NO",NA,16,"Stortinget","ST",NA,"NO_NT_1965","NO_NT_1973",150,"1969-73",FALSE,"data.stortinget.no"
"NO_NT_1973","30sep1973","29sep1977","NT","NO",NA,17,"Stortinget","ST",NA,"NO_NT_1969","NO_NT_1977",155,"1973-77",FALSE,"data.stortinget.no"
"NO_NT_1977","30sep1977","29sep1981","NT","NO",NA,18,"Stortinget","ST",NA,"NO_NT_1973","NO_NT_1981",155,"1977-81",FALSE,"data.stortinget.no"
"NO_NT_1981","30sep1981","29sep1985","NT","NO",NA,19,"Stortinget","ST",NA,"NO_NT_1977","NO_NT_1985",155,"1981-85",FALSE,"data.stortinget.no"
"NO_NT_1985","30sep1985","29sep1989","NT","NO",NA,20,"Stortinget","ST",NA,"NO_NT_1981","NO_NT_1989",157,"1985-89",FALSE,"data.stortinget.no"
"NO_NT_1989","30sep1989","29sep1993","NT","NO",NA,21,"Stortinget","ST",NA,"NO_NT_1985","NO_NT_1993",165,"1989-93",FALSE,"data.stortinget.no"
"NO_NT_1993","30sep1993","29sep1997","NT","NO",NA,22,"Stortinget","ST",NA,"NO_NT_1989","NO_NT_1997",165,"1993-97",FALSE,"data.stortinget.no"
"NO_NT_1997","30sep1997","29sep2001","NT","NO",NA,23,"Stortinget","ST",NA,"NO_NT_1993","NO_NT_2001",165,"1997-2001",FALSE,"data.stortinget.no"
"NO_NT_2001","30sep2001","30sep2005","NT","NO",NA,24,"Stortinget","ST",NA,"NO_NT_1997","NO_NT_2005",165,"2001-2005",FALSE,"data.stortinget.no"
"NO_NT_2005","30sep2005","30sep2009","NT","NO",NA,25,"Stortinget","ST",NA,"NO_NT_2001","NO_NT_2009",169,"2005-2009",FALSE,"data.stortinget.no"
"NO_NT_2009","30sep2009","30sep2013","NT","NO",NA,26,"Stortinget","ST",NA,"NO_NT_2005","NO_NT_2013",169,"2009-2013",FALSE,"data.stortinget.no"
"NO_NT_2013","30sep2013","30sep2017","NT","NO",NA,27,"Stortinget","ST",NA,"NO_NT_2009","NO_NT_2017",169,"2013-2017",FALSE,"data.stortinget.no"
"NO_NT_2017","30sep2017","30sep2021","NT","NO",NA,28,"Stortinget","ST",NA,"NO_NT_2013","NO_NT_2021",169,"2017-2021",FALSE,"data.stortinget.no"
"NO_NT_2021","30sep2021","30sep2025","NT","NO",NA,29,"Stortinget","ST",NA,"NO_NT_2017","NO_NT_2025",169,"2021-2025",FALSE,"data.stortinget.no"
"NO_NT_2025","30sep2025","30sep2029","NT","NO",NA,30,"Stortinget","ST",NA,"NO_NT_2021",NA,169,"2025-2029",TRUE,"data.stortinget.no"
